ゲーム名,最小人数,最大人数,プレイ時間(分),難易度(1〜3),ジャンル,紹介文
ito,2,10,20,1,パーティー,1〜100の数字カードを会話しながら小さい順に並べる協力ゲーム。コミュニケーションが楽しい。
ナンジャモンジャ,2,6,15,1,パーティー,めちゃくちゃな名前をつけてカードを早取りするパーティーゲーム。爆笑必至。
ドブル,2,8,15,1,カード,2枚のカードには必ず共通のシンボルが1つ。速く見つけて叫んだ人の勝ち！
ハリガリ,2,6,20,1,カード,果物が5つそろったらベルを鳴らせ！反射神経が試されるスピードゲーム。
ワードウルフ,3,10,20,1,推理,少数派（ウルフ）を見つけ出す正体隠匿ゲーム。会話の巧みさが勝敗を決める。
コードネーム,4,8,30,2,ボード,スパイのコードネームを1単語のヒントで仲間に伝えるチーム対戦ゲーム。論理と発想力が鍵。
カタン,3,4,75,2,ボード,資源を集めて開拓地を広げる定番ボードゲーム。交渉と戦略が楽しい。
宝石の煌めき,2,4,45,2,ボード,宝石を集めて貴族カードを購入する経済系ボードゲーム。手軽だが奥深い。
ディクシット,3,6,30,1,カード,美しいイラストカードを使ったイメージ当てゲーム。表現力と共感力が試される。
アグリコラ,1,5,120,3,ボード,農場を経営するワーカープレイスメントゲーム。重量級だが達成感が大きい。
